InvoiceID,InvoiceTypeCode,InvoiceIssueDateTime,InvoicePaymentDueDate,InvoiceLineSpec (Y/N),InvoiceSellerAssignedID,InvoiceBuyerPO,SellerSelect,SellerCompanyID,SellerCompanyName,SellerSector,SellerCountry,SellerIBANID,SellerPaymentRef,SellerDeliveryInfo,SellerNotes,BuyerSelect,BuyerCompanyID,BuyerCompanyName,BuyerSector,BuyerCountry,AmountTotal,AmountCurrency,AmountVAT,ConfirmedByBuyer,ConfirmedByBank,ConfirmedPaymentDate,CalcVATPeriod,CalcProductionInput,Good,IsManipulated
INV000026,380,2022-02-09 09:49:04,2022-03-11 09:49:04,N,Farm2Can Ltd.,PO-Luigi's Pizzeria-00026,Y,4,Farm2Can Ltd.,Food Producers,Luxembourg,DE408801824,REF-00026,Main warehouse,,Y,7,Luigi's Pizzeria,Pizzarias (B2C),Luxembourg,74.08,EUR,12.35,N,N,2022-03-10 09:49:04,2022-Q1,2,Canned Tomatoes,N
INV000027,380,2025-02-07 14:46:03,2025-03-09 14:46:03,N,TomatoMagic Co.,PO-Napoli Express-00027,Y,3,TomatoMagic Co.,Food Producers,France,DE521402773,REF-00027,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),France,120.18,EUR,20.03,Y,N,2025-03-06 14:46:03,2025-Q1,3,Canned Tomatoes,N
INV000028,380,2025-02-09 19:41:14,2025-03-11 19:41:14,N,Napoli Express,PO-Jean Dupont-00028,Y,8,Napoli Express,Pizzarias (B2C),France,DE928716538,REF-00028,Main warehouse,,Y,10,Jean Dupont,Customers,France,131.22,EUR,21.87,Y,Y,2025-03-09 19:41:14,2025-Q1,4,Pizza,Y
INV000029,380,2022-05-03 08:58:33,2022-06-02 08:58:33,N,Napoli Express,PO-Jean Dupont-00029,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,DE127297088,REF-00029,Main warehouse,,Y,10,Jean Dupont,Customers,France,12.98,EUR,2.16,N,N,2022-06-02 08:58:33,2022-Q2,4,Pizza,N
INV000030,380,2024-08-02 02:35:53,2024-09-01 02:35:53,N,Napoli Express,PO-Jean Dupont-00030,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,DE378516988,REF-00030,Main warehouse,,Y,10,Jean Dupont,Customers,Luxembourg,87.39,EUR,14.57,Y,Y,2024-08-30 02:35:53,2024-Q3,4,Pizza,Y
INV000031,380,2022-11-13 10:31:49,2022-12-13 10:31:49,N,Sunshine Growers,PO-CUST-00031,Y,2,Sunshine Growers,Farmers,Luxembourg,DE964775492,REF-00031,Main warehouse,,Y,,,,,13.66,EUR,2.28,N,Y,2022-12-10 10:31:49,2022-Q4,1,Tomatoes,N
INV000032,380,2022-07-31 16:14:34,2022-08-30 16:14:34,N,Farm2Can Ltd.,PO-Napoli Express-00032,Y,4,Farm2Can Ltd.,Food Producers,Luxembourg,DE114523374,REF-00032,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),France,71.06,EUR,11.84,N,Y,2022-08-30 16:14:34,2022-Q3,2,Canned Tomatoes,N
INV000033,380,2020-05-11 10:11:49,2020-06-10 10:11:49,N,FreshLink Logistics,PO-Napoli Express-00033,Y,5,FreshLink Logistics,Distributors,Luxembourg,DE135113615,REF-00033,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),France,23.77,EUR,3.96,N,Y,2020-06-06 10:11:49,2020-Q2,2,Canned Tomatoes,N
INV000034,380,2024-07-07 20:36:29,2024-08-06 20:36:29,N,Luigi's Pizzeria,PO-CUST-00034,Y,7,Luigi's Pizzeria,Pizzarias (B2C),France,DE984862917,REF-00034,Main warehouse,,Y,,,,,46.09,EUR,7.68,Y,N,2024-08-02 20:36:29,2024-Q3,5,Pizza,Y
INV000035,380,2022-09-01 04:05:57,2022-10-01 04:05:57,N,TomatoMagic Co.,PO-Luigi's Pizzeria-00035,Y,3,TomatoMagic Co.,Food Producers,Luxembourg,DE451039233,REF-00035,Main warehouse,,Y,7,Luigi's Pizzeria,Pizzarias (B2C),France,42.58,EUR,7.1,N,N,2022-09-30 04:05:57,2022-Q3,3,Canned Tomatoes,N
INV000036,380,2021-04-21 05:17:45,2021-05-21 05:17:45,N,Jean Dupont,PO-CUST-00036,Y,10,Jean Dupont,Customers,Luxembourg,DE1575057810,REF-00036,Main warehouse,,Y,,,,,44.78,EUR,7.46,N,N,2021-05-18 05:17:45,2021-Q2,2,,N
INV000037,380,2024-03-01 07:38:25,2024-03-31 07:38:25,N,GreenFields Farm,PO-TomatoMagic Co.-00037,Y,1,GreenFields Farm,Farmers,Luxembourg,DE542423231,REF-00037,Main warehouse,,Y,3,TomatoMagic Co.,Food Producers,Luxembourg,125.14,EUR,20.86,N,N,2024-03-30 07:38:25,2024-Q1,2,Tomatoes,N
INV000038,380,2022-10-02 04:03:46,2022-11-01 04:03:46,N,AgroDistrib Europe,PO-Napoli Express-00038,Y,6,AgroDistrib Europe,Distributors,France,DE465892906,REF-00038,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),France,171.17,EUR,28.53,Y,Y,2022-10-30 04:03:46,2022-Q4,2,Cheese,N
INV000039,380,2023-11-13 02:03:55,2023-12-13 02:03:55,N,Jean Dupont,PO-CUST-00039,Y,10,Jean Dupont,Customers,France,DE7298374410,REF-00039,Main warehouse,,Y,,,,,182.48,EUR,30.41,N,Y,2023-12-09 02:03:55,2023-Q4,2,,N
INV000040,380,2020-04-13 13:09:17,2020-05-13 13:09:17,N,Jean Dupont,PO-CUST-00040,Y,10,Jean Dupont,Customers,Luxembourg,DE5152085910,REF-00040,Main warehouse,,Y,,,,,55.18,EUR,9.2,Y,Y,2020-05-11 13:09:17,2020-Q2,2,,N
INV000041,380,2021-10-31 15:20:01,2021-11-30 15:20:01,N,FreshLink Logistics,PO-Luigi's Pizzeria-00041,Y,5,FreshLink Logistics,Distributors,Luxembourg,DE210658575,REF-00041,Main warehouse,,Y,7,Luigi's Pizzeria,Pizzarias (B2C),France,16.73,EUR,2.79,N,Y,2021-11-25 15:20:01,2021-Q4,2,Canned Tomatoes,N
INV000042,380,2023-07-05 16:01:35,2023-08-04 16:01:35,N,Jean Dupont,PO-CUST-00042,Y,10,Jean Dupont,Customers,Luxembourg,DE9588179710,REF-00042,Main warehouse,,Y,,,,,16.64,EUR,2.77,N,Y,2023-08-02 16:01:35,2023-Q3,2,,N
INV000043,380,2024-06-14 21:42:41,2024-07-14 21:42:41,N,Farm2Can Ltd.,PO-Luigi's Pizzeria-00043,Y,4,Farm2Can Ltd.,Food Producers,Luxembourg,DE131316814,REF-00043,Main warehouse,,Y,7,Luigi's Pizzeria,Pizzarias (B2C),Luxembourg,117.56,EUR,19.59,Y,N,2024-07-13 21:42:41,2024-Q2,2,Canned Tomatoes,N
INV000044,380,2022-08-02 18:49:56,2022-09-01 18:49:56,N,Farm2Can Ltd.,PO-Napoli Express-00044,Y,4,Farm2Can Ltd.,Food Producers,Luxembourg,DE393299844,REF-00044,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,132.02,EUR,22.0,N,Y,2022-08-28 18:49:56,2022-Q3,2,Canned Tomatoes,N
INV000045,380,2023-02-22 06:58:34,2023-03-24 06:58:34,N,TomatoMagic Co.,PO-Luigi's Pizzeria-00045,Y,3,TomatoMagic Co.,Food Producers,Luxembourg,DE608872403,REF-00045,Main warehouse,,Y,7,Luigi's Pizzeria,Pizzarias (B2C),Luxembourg,181.1,EUR,30.18,N,Y,2023-03-24 06:58:34,2023-Q1,3,Canned Tomatoes,N
INV000046,380,2021-06-21 01:02:14,2021-07-21 01:02:14,N,GreenFields Farm,PO-CUST-00046,Y,1,GreenFields Farm,Farmers,Luxembourg,DE496746341,REF-00046,Main warehouse,,Y,,,,,87.67,EUR,14.61,N,N,2021-07-20 01:02:14,2021-Q2,2,Tomatoes,N
INV000047,380,2023-11-08 06:38:10,2023-12-08 06:38:10,N,Farm2Can Ltd.,PO-Luigi's Pizzeria-00047,Y,4,Farm2Can Ltd.,Food Producers,France,DE718355064,REF-00047,Main warehouse,,Y,7,Luigi's Pizzeria,Pizzarias (B2C),France,40.75,EUR,6.79,Y,N,2023-12-08 06:38:10,2023-Q4,2,Canned Tomatoes,N
INV000048,380,2021-10-09 04:53:55,2021-11-08 04:53:55,N,TomatoMagic Co.,PO-Napoli Express-00048,Y,3,TomatoMagic Co.,Food Producers,Luxembourg,DE914930623,REF-00048,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,26.53,EUR,4.42,Y,N,2021-11-06 04:53:55,2021-Q4,3,Canned Tomatoes,N
INV000049,380,2025-01-20 04:10:06,2025-02-19 04:10:06,N,Luigi's Pizzeria,PO-CUST-00049,Y,7,Luigi's Pizzeria,Pizzarias (B2C),Luxembourg,DE387034267,REF-00049,Main warehouse,,Y,,,,,12.37,EUR,2.06,Y,N,2025-02-15 04:10:06,2025-Q1,5,Pizza,Y
INV000050,380,2020-09-25 18:59:56,2020-10-25 18:59:56,N,Napoli Express,PO-CUST-00050,Y,8,Napoli Express,Pizzarias (B2C),France,DE663902608,REF-00050,Main warehouse,,Y,,,,,186.58,EUR,31.1,N,N,2020-10-25 18:59:56,2020-Q3,4,Pizza,N
INV000051,380,2021-10-03 03:27:32,2021-11-02 03:27:32,N,Farm2Can Ltd.,PO-Luigi's Pizzeria-00051,Y,4,Farm2Can Ltd.,Food Producers,Luxembourg,DE248899774,REF-00051,Main warehouse,,Y,7,Luigi's Pizzeria,Pizzarias (B2C),Luxembourg,95.75,EUR,15.96,Y,N,2021-11-01 03:27:32,2021-Q4,2,Canned Tomatoes,N
INV000052,380,2024-11-13 00:38:42,2024-12-13 00:38:42,N,FreshLink Logistics,PO-Luigi's Pizzeria-00052,Y,5,FreshLink Logistics,Distributors,France,DE908465025,REF-00052,Main warehouse,,Y,7,Luigi's Pizzeria,Pizzarias (B2C),France,18.2,EUR,3.03,Y,Y,2024-12-13 00:38:42,2024-Q4,2,Canned Tomatoes,N
INV000053,380,2021-11-09 19:35:30,2021-12-09 19:35:30,N,Anna Müller,PO-CUST-00053,Y,9,Anna Müller,Customers,Luxembourg,DE190386339,REF-00053,Main warehouse,,Y,,,,,26.34,EUR,4.39,Y,Y,2021-12-06 19:35:30,2021-Q4,2,,N
INV000054,380,2022-11-30 01:24:36,2022-12-30 01:24:36,N,Farm2Can Ltd.,PO-Luigi's Pizzeria-00054,Y,4,Farm2Can Ltd.,Food Producers,Luxembourg,DE454804804,REF-00054,Main warehouse,,Y,7,Luigi's Pizzeria,Pizzarias (B2C),France,9.84,EUR,1.64,Y,Y,2022-12-27 01:24:36,2022-Q4,2,Canned Tomatoes,N
INV000055,380,2020-08-27 16:43:55,2020-09-26 16:43:55,N,Anna Müller,PO-CUST-00055,Y,9,Anna Müller,Customers,Luxembourg,DE161296899,REF-00055,Main warehouse,,Y,,,,,85.58,EUR,14.26,Y,N,2020-09-24 16:43:55,2020-Q3,2,,N
INV000056,380,2021-04-06 00:32:27,2021-05-06 00:32:27,N,Jean Dupont,PO-CUST-00056,Y,10,Jean Dupont,Customers,France,DE3712064710,REF-00056,Main warehouse,,Y,,,,,101.15,EUR,16.86,Y,Y,2021-05-05 00:32:27,2021-Q2,2,,N
INV000057,380,2021-01-01 17:47:54,2021-01-31 17:47:54,N,GreenFields Farm,PO-TomatoMagic Co.-00057,Y,1,GreenFields Farm,Farmers,Luxembourg,DE681146151,REF-00057,Main warehouse,,Y,3,TomatoMagic Co.,Food Producers,Luxembourg,82.51,EUR,13.75,N,N,2021-01-31 17:47:54,2021-Q1,2,Tomatoes,N
INV000058,380,2023-08-27 07:05:35,2023-09-26 07:05:35,N,Farm2Can Ltd.,PO-Napoli Express-00058,Y,4,Farm2Can Ltd.,Food Producers,Luxembourg,DE197940134,REF-00058,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,57.26,EUR,9.54,N,Y,2023-09-24 07:05:35,2023-Q3,2,Canned Tomatoes,N
INV000059,380,2022-04-21 04:38:45,2022-05-21 04:38:45,N,Jean Dupont,PO-CUST-00059,Y,10,Jean Dupont,Customers,France,DE5377912810,REF-00059,Main warehouse,,Y,,,,,66.49,EUR,11.08,Y,N,2022-05-21 04:38:45,2022-Q2,2,,N
INV000060,380,2022-08-28 14:32:38,2022-09-27 14:32:38,N,Napoli Express,PO-CUST-00060,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,DE484932308,REF-00060,Main warehouse,,Y,,,,,70.51,EUR,11.75,N,N,2022-09-22 14:32:38,2022-Q3,4,Pizza,Y
INV000061,380,2023-04-04 07:32:35,2023-05-04 07:32:35,N,GreenFields Farm,PO-Farm2Can Ltd.-00061,Y,1,GreenFields Farm,Farmers,France,DE617843311,REF-00061,Main warehouse,,Y,4,Farm2Can Ltd.,Food Producers,France,51.8,EUR,8.63,Y,Y,2023-05-02 07:32:35,2023-Q2,2,Tomatoes,N
INV000062,380,2023-07-09 03:36:49,2023-08-08 03:36:49,N,FreshLink Logistics,PO-Napoli Express-00062,Y,5,FreshLink Logistics,Distributors,Luxembourg,DE317175465,REF-00062,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),France,51.35,EUR,8.56,Y,N,2023-08-05 03:36:49,2023-Q3,2,Canned Tomatoes,N
INV000063,380,2023-02-21 21:57:53,2023-03-23 21:57:53,N,Luigi's Pizzeria,PO-Jean Dupont-00063,Y,7,Luigi's Pizzeria,Pizzarias (B2C),France,DE327473137,REF-00063,Main warehouse,,Y,10,Jean Dupont,Customers,Luxembourg,63.6,EUR,10.6,N,N,2023-03-18 21:57:53,2023-Q1,5,Pizza,N
INV000064,380,2025-01-29 17:21:26,2025-02-28 17:21:26,N,Anna Müller,PO-CUST-00064,Y,9,Anna Müller,Customers,France,DE573598459,REF-00064,Main warehouse,,Y,,,,,69.59,EUR,11.6,N,Y,2025-02-27 17:21:26,2025-Q1,2,,N
INV000065,380,2022-11-01 09:58:17,2022-12-01 09:58:17,N,Napoli Express,PO-CUST-00065,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,DE662537098,REF-00065,Main warehouse,,Y,,,,,33.22,EUR,5.54,Y,N,2022-12-01 09:58:17,2022-Q4,4,Pizza,Y
INV000066,380,2021-09-05 22:06:50,2021-10-05 22:06:50,N,Sunshine Growers,PO-Farm2Can Ltd.-00066,Y,2,Sunshine Growers,Farmers,Luxembourg,DE140244412,REF-00066,Main warehouse,,Y,4,Farm2Can Ltd.,Food Producers,France,158.86,EUR,26.48,N,N,2021-09-30 22:06:50,2021-Q3,1,Tomatoes,N
INV000067,380,2023-12-05 13:17:12,2024-01-04 13:17:12,N,Sunshine Growers,PO-Farm2Can Ltd.-00067,Y,2,Sunshine Growers,Farmers,France,DE442030662,REF-00067,Main warehouse,,Y,4,Farm2Can Ltd.,Food Producers,France,88.84,EUR,14.81,N,Y,2024-01-04 13:17:12,2023-Q4,1,Tomatoes,N
INV000068,380,2021-12-03 22:31:36,2022-01-02 22:31:36,N,TomatoMagic Co.,PO-Napoli Express-00068,Y,3,TomatoMagic Co.,Food Producers,Luxembourg,DE798673003,REF-00068,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,111.54,EUR,18.59,Y,N,2021-12-30 22:31:36,2021-Q4,3,Canned Tomatoes,N
INV000069,380,2021-09-20 18:45:28,2021-10-20 18:45:28,N,TomatoMagic Co.,PO-Napoli Express-00069,Y,3,TomatoMagic Co.,Food Producers,Luxembourg,DE457093083,REF-00069,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,82.92,EUR,13.82,N,Y,2021-10-19 18:45:28,2021-Q3,3,Canned Tomatoes,N
INV000070,380,2022-06-23 12:13:09,2022-07-23 12:13:09,N,AgroDistrib Europe,PO-CUST-00070,Y,6,AgroDistrib Europe,Distributors,Luxembourg,DE325805576,REF-00070,Main warehouse,,Y,,,,,77.03,EUR,12.84,Y,Y,2022-07-19 12:13:09,2022-Q2,2,Cheese,N
INV000071,380,2020-10-21 09:39:11,2020-11-20 09:39:11,N,Sunshine Growers,PO-Farm2Can Ltd.-00071,Y,2,Sunshine Growers,Farmers,France,DE518266092,REF-00071,Main warehouse,,Y,4,Farm2Can Ltd.,Food Producers,Luxembourg,31.32,EUR,5.22,N,N,2020-11-19 09:39:11,2020-Q4,1,Tomatoes,N
INV000072,380,2024-05-18 05:16:02,2024-06-17 05:16:02,N,Napoli Express,PO-Jean Dupont-00072,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,DE936818728,REF-00072,Main warehouse,,Y,10,Jean Dupont,Customers,France,17.92,EUR,2.99,N,Y,2024-06-13 05:16:02,2024-Q2,4,Pizza,Y
INV000073,380,2023-04-15 01:03:36,2023-05-15 01:03:36,N,Farm2Can Ltd.,PO-Napoli Express-00073,Y,4,Farm2Can Ltd.,Food Producers,Luxembourg,DE602062434,REF-00073,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),France,123.96,EUR,20.66,N,Y,2023-05-11 01:03:36,2023-Q2,2,Canned Tomatoes,N
INV000074,380,2020-08-21 08:38:41,2020-09-20 08:38:41,N,Luigi's Pizzeria,PO-Jean Dupont-00074,Y,7,Luigi's Pizzeria,Pizzarias (B2C),France,DE498839777,REF-00074,Main warehouse,,Y,10,Jean Dupont,Customers,France,130.9,EUR,21.82,N,N,2020-09-17 08:38:41,2020-Q3,5,Pizza,N
INV000075,380,2022-08-04 02:22:36,2022-09-03 02:22:36,N,AgroDistrib Europe,PO-Luigi's Pizzeria-00075,Y,6,AgroDistrib Europe,Distributors,Luxembourg,DE519772146,REF-00075,Main warehouse,,Y,7,Luigi's Pizzeria,Pizzarias (B2C),France,122.62,EUR,20.44,N,N,2022-08-30 02:22:36,2022-Q3,2,Cheese,N
INV000076,380,2024-02-18 04:59:09,2024-03-19 04:59:09,N,Napoli Express,PO-Jean Dupont-00076,Y,8,Napoli Express,Pizzarias (B2C),France,DE498677638,REF-00076,Main warehouse,,Y,10,Jean Dupont,Customers,Luxembourg,138.97,EUR,23.16,Y,Y,2024-03-17 04:59:09,2024-Q1,4,Pizza,Y
